/net12 (V3=0.8) X,/net12 (V3=0.8) Y
-0.9,0.8993086041326774
-0.864,0.8994301886871301
-0.828,0.8995716437259155
-0.7919999999999999,0.8997373496940948
-0.7559999999999999,0.8999328897494734
-0.7199999999999999,0.9001653951208739
-0.6839999999999998,0.9004440384787821
-0.6479999999999998,0.9007807332733581
-0.6119999999999998,0.9011911551470713
-0.5759999999999997,0.9016961534247148
-0.5399999999999997,0.9023231177923038
-0.5039999999999997,0.9031061389406071
-0.4679999999999996,0.9040867905059373
-0.4319999999999996,0.9053189755896038
-0.3959999999999996,0.9068681284868297
-0.3599999999999995,0.9087981699091662
-0.3239999999999995,0.911156710373499
-0.2879999999999995,0.9139672926239905
-0.2519999999999994,0.9172297032861146
-0.2159999999999994,0.9209244641220248
-0.1799999999999994,0.9250179497627751
-0.1439999999999994,0.9294666746424501
-0.1079999999999994,0.9342205303953912
-0.07199999999999943,0.9392250575757493
-0.03599999999999942,0.9444228446661728
0,0.9497541546643389
0.036,0.9551569065156535
0.07200000000000001,0.9605661623005585
0.108,0.9659132944421234
0.144,0.97112505229603
0.18,0.9761228393052703
0.216,0.9808226639834881
0.252,0.9851364236211646
0.288,0.9889753655820311
0.3240000000000001,0.9922567402709156
0.3600000000000001,0.9949150153705315
0.3960000000000001,0.9969193555614793
0.4320000000000002,0.9982958243783395
0.4680000000000002,0.9991403327322231
0.5040000000000002,0.999599509701065
0.5400000000000003,0.9998228076743562
0.5760000000000003,0.9999695811343406
0.6120000000000003,0.9999849871075124
0.6480000000000004,0.99998906027709
0.6840000000000004,0.999990196830563
0.7200000000000004,0.9999905222815142
0.7560000000000004,0.999990618191908
0.7920000000000005,0.9999906488043312
0.8280000000000005,0.9999906591359785
0.8640000000000005,0.9999906627382475
0.9,0.9999906639980787
0.8640000000000005,0.9999906416050018
0.8280000000000005,0.9999906032797063
0.7920000000000005,0.999990501652716
0.7560000000000004,0.9999902326221585
0.7200000000000004,0.999989521978664
0.6840000000000004,0.9999876514699478
0.6480000000000004,0.9999827587013889
0.6120000000000003,0.9999701160052945
0.5760000000000003,0.9999380665543742
0.5400000000000003,0.9998593566104839
0.5040000000000002,0.9996756792018572
0.4680000000000002,0.9991402683872879
0.4320000000000002,0.9982957338079178
0.3960000000000001,0.9969192815560983
0.3600000000000001,0.9949150057322368
0.3240000000000001,0.9922567903013687
0.288,0.9889754444415516
0.252,0.9851365045807944
0.216,0.9808227322527852
0.18,0.976122890205423
0.144,0.9711250872100123
0.108,0.9659133172271438
0.07200000000000001,0.9605661771143121
0.036,0.9551569169081051
0,0.9497541633904856
-0.03599999999999942,0.9444228537545144
-0.07199999999999943,0.9392250683746068
-0.1079999999999994,0.9342205434625492
-0.1439999999999994,0.9294666894496812
-0.1799999999999994,0.9250179643006633
-0.2159999999999994,0.9209244746241669
-0.2519999999999994,0.9172297044451388
-0.2879999999999995,0.913967278984456
-0.3239999999999995,0.911156680061045
-0.3599999999999995,0.9087981305433128
-0.3959999999999996,0.9068680992860447
-0.4319999999999996,0.9053189787645547
-0.4679999999999996,0.9040868219215342
-0.5039999999999997,0.9031061988564677
-0.5399999999999997,0.9023231512851679
-0.5759999999999997,0.9016961481514659
-0.6119999999999998,0.9011911351444966
-0.6479999999999998,0.9007807129994788
-0.6839999999999998,0.9004440213075575
-0.7199999999999999,0.9001653809912245
-0.7559999999999999,0.8999328779917475
-0.7919999999999999,0.8997373396843333
-0.828,0.8995716349890975
-0.864,0.8994301808813604
-0.9,0.8993085808263962
